date,open,high,low,close,volume
2023-01-02 09:15:00,18131.7,18150.15,18092.4,18101.85,0
2023-01-02 09:30:00,18101.9,18150.3,18087.55,18150.2,0
2023-01-02 09:45:00,18150.2,18171.75,18140.35,18160.3,0
2023-01-02 10:00:00,18161.05,18172.95,18154.7,18162.9,0
2023-01-02 10:15:00,18159.4,18171.95,18155.4,18156.75,0
2023-01-02 10:30:00,18157.35,18189.9,18157.35,18183.75,0
2023-01-02 10:45:00,18184.15,18187.35,18170.5,18181.0,0
2023-01-02 11:00:00,18181.1,18199.3,18179.3,18186.5,0
2023-01-02 11:15:00,18186.1,18192.45,18177.15,18183.95,0
2023-01-02 11:30:00,18183.85,18189.05,18172.25,18186.4,0
2023-01-02 11:45:00,18186.6,18187.7,18170.5,18173.1,0
2023-01-02 12:00:00,18172.55,18192.95,18172.05,18192.05,0
2023-01-02 12:15:00,18190.65,18197.3,18160.05,18167.15,0
2023-01-02 12:30:00,18166.95,18186.35,18164.55,18169.9,0
2023-01-02 12:45:00,18169.9,18173.85,18154.05,18158.0,0
2023-01-02 13:00:00,18158.45,18185.05,18158.05,18182.35,0
2023-01-02 13:15:00,18182.25,18193.45,18179.85,18182.3,0
2023-01-02 13:30:00,18182.9,18185.45,18169.6,18171.4,0
2023-01-02 13:45:00,18171.9,18177.6,18162.45,18163.1,0
2023-01-02 14:00:00,18162.6,18176.95,18157.95,18170.1,0
2023-01-02 14:15:00,18169.95,18169.95,18123.2,18147.35,0
2023-01-02 14:30:00,18147.5,18164.05,18143.8,18156.7,0
2023-01-02 14:45:00,18156.05,18205.1,18153.8,18181.6,0
2023-01-02 15:00:00,18183.6,18201.7,18171.5,18193.05,0
2023-01-02 15:15:00,18192.1,18215.1,18192.1,18207.1,0
2023-01-03 09:15:00,18163.2,18190.7,18149.95,18161.1,0
2023-01-03 09:30:00,18161.25,18197.55,18161.25,18193.7,0
2023-01-03 09:45:00,18193.55,18210.05,18188.6,18209.4,0
2023-01-03 10:00:00,18209.45,18232.5,18201.7,18230.25,0
2023-01-03 10:15:00,18230.1,18235.35,18217.6,18219.05,0
2023-01-03 10:30:00,18218.6,18238.6,18218.55,18223.15,0
2023-01-03 10:45:00,18223.7,18236.15,18215.95,18226.4,0
2023-01-03 11:00:00,18226.7,18238.95,18225.85,18231.25,0
2023-01-03 11:15:00,18231.1,18240.4,18221.85,18236.55,0
2023-01-03 11:30:00,18236.2,18239.45,18221.9,18230.6,0
2023-01-03 11:45:00,18230.15,18233.1,18213.9,18218.45,0
2023-01-03 12:00:00,18219.1,18224.25,18195.8,18197.55,0
2023-01-03 12:15:00,18198.35,18198.95,18162.5,18175.0,0
2023-01-03 12:30:00,18175.4,18187.0,18168.45,18181.3,0
2023-01-03 12:45:00,18181.8,18188.4,18170.8,18179.7,0
2023-01-03 13:00:00,18180.6,18192.3,18172.9,18184.55,0
2023-01-03 13:15:00,18185.25,18195.95,18183.6,18194.15,0
2023-01-03 13:30:00,18194.45,18208.5,18193.7,18203.4,0
2023-01-03 13:45:00,18202.8,18225.1,18201.15,18221.15,0
2023-01-03 14:00:00,18221.15,18224.1,18205.45,18205.45,0
2023-01-03 14:15:00,18205.8,18234.6,18205.8,18227.95,0
2023-01-03 14:30:00,18228.9,18239.2,18224.55,18238.05,0
2023-01-03 14:45:00,18238.65,18251.85,18229.25,18231.65,0
2023-01-03 15:00:00,18233.0,18243.0,18211.9,18240.65,0
2023-01-03 15:15:00,18239.95,18241.9,18229.4,18234.3,0
2023-01-04 09:15:00,18230.65,18241.2,18200.1,18233.4,0
2023-01-04 09:30:00,18232.9,18238.65,18162.05,18163.85,0
2023-01-04 09:45:00,18162.95,18166.9,18128.3,18128.3,0
2023-01-04 10:00:00,18127.55,18139.4,18114.0,18129.8,0
2023-01-04 10:15:00,18129.65,18157.85,18122.4,18154.2,0
2023-01-04 10:30:00,18154.55,18164.5,18135.45,18141.9,0
2023-01-04 10:45:00,18141.75,18142.6,18125.75,18136.65,0
2023-01-04 11:00:00,18137.3,18137.7,18088.6,18096.85,0
2023-01-04 11:15:00,18096.7,18112.15,18095.05,18109.85,0
2023-01-04 11:30:00,18110.15,18110.7,18095.25,18100.2,0
2023-01-04 11:45:00,18099.65,18100.5,18070.6,18075.0,0
2023-01-04 12:00:00,18076.4,18077.45,18038.0,18040.25,0
2023-01-04 12:15:00,18038.4,18064.35,18038.4,18055.6,0
2023-01-04 12:30:00,18056.3,18062.1,18044.45,18059.05,0
2023-01-04 12:45:00,18058.7,18075.4,18055.5,18056.75,0
2023-01-04 13:00:00,18057.0,18085.15,18056.2,18078.95,0
2023-01-04 13:15:00,18078.6,18082.55,18066.55,18077.5,0
2023-01-04 13:30:00,18076.45,18103.25,18072.3,18098.2,0
2023-01-04 13:45:00,18098.25,18123.95,18095.7,18114.25,0
2023-01-04 14:00:00,18114.75,18131.4,18113.8,18125.6,0
2023-01-04 14:15:00,18126.2,18130.15,18072.8,18079.45,0
2023-01-04 14:30:00,18080.6,18088.4,18067.35,18069.1,0
2023-01-04 14:45:00,18066.3,18067.25,18022.6,18056.3,0
2023-01-04 15:00:00,18055.9,18068.7,18035.3,18052.85,0
2023-01-04 15:15:00,18052.35,18054.45,18023.3,18036.85,0
2023-01-05 09:15:00,18101.95,18101.95,18031.95,18074.8,0
2023-01-05 09:30:00,18074.3,18119.05,18034.1,18034.3,0
2023-01-05 09:45:00,18033.35,18056.55,18028.25,18037.25,0
2023-01-05 10:00:00,18037.25,18065.15,18013.9,18063.25,0
2023-01-05 10:15:00,18065.0,18084.4,18052.05,18063.35,0
2023-01-05 10:30:00,18063.45,18068.65,18040.6,18052.8,0
2023-01-05 10:45:00,18053.35,18053.35,18023.25,18033.6,0
2023-01-05 11:00:00,18033.7,18045.0,18026.85,18037.1,0
2023-01-05 11:15:00,18037.3,18045.1,18017.75,18022.35,0
2023-01-05 11:30:00,18021.9,18023.5,18001.75,18015.15,0
2023-01-05 11:45:00,18015.4,18017.6,17973.85,17981.95,0
2023-01-05 12:00:00,17983.1,17986.5,17970.05,17981.1,0
2023-01-05 12:15:00,17982.9,17985.45,17957.4,17958.05,0
2023-01-05 12:30:00,17957.05,17967.35,17935.0,17940.05,0
2023-01-05 12:45:00,17940.35,17951.7,17931.6,17938.05,0
2023-01-05 13:00:00,17937.7,17965.35,17935.2,17949.15,0
2023-01-05 13:15:00,17950.8,17951.4,17892.6,17904.1,0
2023-01-05 13:30:00,17903.8,17915.75,17897.7,17906.9,0
2023-01-05 13:45:00,17906.6,17939.25,17898.35,17937.45,0
2023-01-05 14:00:00,17938.45,17940.25,17911.15,17912.35,0
2023-01-05 14:15:00,17912.3,17953.9,17911.25,17952.6,0
2023-01-05 14:30:00,17953.15,17956.4,17938.9,17945.55,0
2023-01-05 14:45:00,17946.8,17968.05,17941.0,17954.75,0
2023-01-05 15:00:00,17953.4,17999.55,17953.4,17989.45,0
2023-01-05 15:15:00,17989.3,18007.9,17989.3,17999.8,0
2023-01-06 09:15:00,18008.05,18025.85,17970.65,17990.0,0
2023-01-06 09:30:00,17990.2,18046.6,17976.4,18026.75,0
2023-01-06 09:45:00,18026.65,18031.6,17970.9,17970.9,0
2023-01-06 10:00:00,17971.45,17977.55,17953.9,17955.0,0
2023-01-06 10:15:00,17954.65,17968.95,17943.8,17945.35,0
2023-01-06 10:30:00,17946.3,17948.9,17920.9,17934.0,0
2023-01-06 10:45:00,17934.2,17951.8,17929.2,17932.0,0
2023-01-06 11:00:00,17931.65,17932.05,17909.1,17913.7,0
2023-01-06 11:15:00,17914.1,17927.95,17904.15,17906.4,0
2023-01-06 11:30:00,17906.1,17941.55,17905.8,17939.2,0
2023-01-06 11:45:00,17939.4,17948.75,17926.25,17940.05,0
2023-01-06 12:00:00,17938.85,17945.55,17922.55,17922.8,0
2023-01-06 12:15:00,17923.15,17926.6,17898.7,17899.75,0
2023-01-06 12:30:00,17898.15,17909.7,17872.65,17875.4,0
2023-01-06 12:45:00,17877.05,17877.05,17841.25,17845.05,0
2023-01-06 13:00:00,17845.9,17851.8,17825.15,17830.4,0
2023-01-06 13:15:00,17831.7,17835.4,17797.4,17801.3,0
2023-01-06 13:30:00,17799.8,17831.55,17796.15,17827.95,0
2023-01-06 13:45:00,17828.2,17851.4,17827.05,17841.15,0
2023-01-06 14:00:00,17839.45,17853.2,17811.75,17820.85,0
2023-01-06 14:15:00,17820.6,17851.3,17797.55,17839.0,0
2023-01-06 14:30:00,17840.45,17849.95,17821.1,17831.85,0
2023-01-06 14:45:00,17832.5,17867.35,17827.9,17866.15,0
2023-01-06 15:00:00,17865.25,17881.1,17842.95,17869.85,0
2023-01-06 15:15:00,17869.45,17872.15,17847.25,17865.85,0
2023-01-09 09:15:00,17952.55,17987.45,17936.7,17987.15,0
2023-01-09 09:30:00,17991.3,18040.75,17991.3,18027.65,0
2023-01-09 09:45:00,18026.8,18054.75,18011.55,18050.6,0
2023-01-09 10:00:00,18051.4,18077.15,18051.05,18059.65,0
2023-01-09 10:15:00,18060.7,18096.35,18060.7,18084.1,0
2023-01-09 10:30:00,18083.75,18101.1,18074.45,18083.15,0
2023-01-09 10:45:00,18083.3,18095.65,18072.95,18085.85,0
2023-01-09 11:00:00,18085.75,18108.5,18079.5,18105.2,0
2023-01-09 11:15:00,18106.0,18117.95,18097.7,18115.6,0
2023-01-09 11:30:00,18116.05,18132.35,18116.05,18130.25,0
2023-01-09 11:45:00,18128.45,18139.8,18122.25,18126.15,0
2023-01-09 12:00:00,18125.5,18133.5,18112.9,18130.2,0
2023-01-09 12:15:00,18130.8,18141.0,18089.3,18095.1,0
2023-01-09 12:30:00,18094.95,18106.1,18082.9,18098.8,0
2023-01-09 12:45:00,18098.55,18108.0,18088.1,18093.35,0
2023-01-09 13:00:00,18093.1,18094.15,18074.55,18075.35,0
2023-01-09 13:15:00,18074.9,18077.35,18055.25,18056.35,0
2023-01-09 13:30:00,18055.95,18061.15,18025.75,18027.0,0
2023-01-09 13:45:00,18026.35,18038.55,17997.65,18038.1,0
2023-01-09 14:00:00,18037.65,18053.45,18021.4,18053.25,0
2023-01-09 14:15:00,18053.35,18066.15,18043.3,18061.0,0
2023-01-09 14:30:00,18060.6,18074.1,18055.35,18065.2,0
2023-01-09 14:45:00,18063.9,18078.0,18032.7,18063.25,0
2023-01-09 15:00:00,18063.65,18107.3,18063.65,18106.45,0
2023-01-09 15:15:00,18106.4,18115.7,18083.9,18088.75,0
2023-01-10 09:15:00,18121.3,18122.9,18027.1,18028.3,0
2023-01-10 09:30:00,18028.6,18031.75,18004.05,18018.3,0
2023-01-10 09:45:00,18018.65,18030.55,17978.1,17983.65,0
2023-01-10 10:00:00,17984.55,17999.15,17966.2,17990.8,0
2023-01-10 10:15:00,17990.3,18010.55,17986.95,17991.05,0
2023-01-10 10:30:00,17991.4,17992.25,17956.3,17957.0,0
2023-01-10 10:45:00,17957.25,17971.3,17947.55,17970.4,0
2023-01-10 11:00:00,17971.0,17973.85,17952.5,17954.6,0
2023-01-10 11:15:00,17954.0,17964.95,17940.65,17942.15,0
2023-01-10 11:30:00,17941.05,17942.15,17927.25,17933.4,0
2023-01-10 11:45:00,17933.15,17944.6,17930.75,17940.0,0
2023-01-10 12:00:00,17939.75,17963.9,17939.75,17957.2,0
2023-01-10 12:15:00,17957.6,17968.4,17944.6,17966.1,0
2023-01-10 12:30:00,17967.1,17974.7,17903.6,17904.05,0
2023-01-10 12:45:00,17903.4,17907.35,17878.95,17881.35,0
2023-01-10 13:00:00,17881.4,17910.6,17881.4,17890.25,0
2023-01-10 13:15:00,17891.25,17906.75,17887.9,17905.65,0
2023-01-10 13:30:00,17906.5,17910.25,17861.05,17873.7,0
2023-01-10 13:45:00,17874.15,17913.35,17868.1,17904.35,0
2023-01-10 14:00:00,17904.65,17918.85,17893.2,17904.25,0
2023-01-10 14:15:00,17902.95,17910.8,17873.05,17874.9,0
2023-01-10 14:30:00,17874.9,17883.75,17858.25,17858.25,0
2023-01-10 14:45:00,17857.55,17904.65,17857.25,17892.8,0
2023-01-10 15:00:00,17894.65,17927.45,17886.35,17921.85,0
2023-01-10 15:15:00,17922.5,17928.9,17912.05,17925.35,0
2023-01-11 09:15:00,17924.25,17930.35,17825.35,17843.4,0
2023-01-11 09:30:00,17844.05,17936.9,17825.5,17870.15,0
2023-01-11 09:45:00,17869.8,17906.9,17861.5,17890.3,0
2023-01-11 10:00:00,17890.75,17957.05,17890.75,17957.05,0
2023-01-11 10:15:00,17957.7,17967.95,17933.35,17967.95,0
2023-01-11 10:30:00,17967.6,17975.4,17950.1,17950.5,0
2023-01-11 10:45:00,17950.65,17957.4,17885.75,17900.3,0
2023-01-11 11:00:00,17900.45,17910.2,17876.05,17910.2,0
2023-01-11 11:15:00,17910.25,17911.65,17885.3,17901.0,0
2023-01-11 11:30:00,17901.3,17902.75,17871.0,17881.6,0
2023-01-11 11:45:00,17882.45,17924.2,17882.4,17915.85,0
2023-01-11 12:00:00,17915.45,17929.15,17901.2,17904.55,0
2023-01-11 12:15:00,17903.95,17921.05,17893.7,17914.1,0
2023-01-11 12:30:00,17913.2,17914.8,17894.5,17897.7,0
2023-01-11 12:45:00,17897.25,17904.0,17881.85,17899.7,0
2023-01-11 13:00:00,17898.45,17920.45,17894.95,17914.35,0
2023-01-11 13:15:00,17913.45,17928.5,17913.15,17922.45,0
2023-01-11 13:30:00,17921.85,17931.85,17912.75,17914.7,0
2023-01-11 13:45:00,17913.9,17916.25,17891.8,17894.1,0
2023-01-11 14:00:00,17892.85,17908.55,17865.0,17876.05,0
2023-01-11 14:15:00,17874.85,17896.65,17867.2,17895.8,0
2023-01-11 14:30:00,17895.0,17922.15,17890.45,17916.8,0
2023-01-11 14:45:00,17915.0,17939.7,17909.15,17933.8,0
2023-01-11 15:00:00,17933.3,17935.75,17884.9,17891.85,0
2023-01-11 15:15:00,17891.2,17896.45,17879.3,17888.4,0
2023-01-12 09:15:00,17920.85,17934.5,17895.95,17904.0,0
2023-01-12 09:30:00,17903.55,17944.8,17883.65,17901.6,0
